compound_name	compound_code
2-Methylpyrazine	DC1
Oct-1-en-3-ol	DC2
3,7-Dimethyldecane	DC3
5-Methylundecane	DC4
Naphthalene	DC5
1,3-ditert-butylbenzene	DC6
8-Methylheptadecane	DC7
3,4,6-Trimethylundecane	DC8
2,6,10-Trimethyldodecane	DC9
2,6,11-Trimethyldodecane	DC10
3-Ethyl-5-(2-ethylbutyl)octadecane	DC11
Hexacosane	DC12
Nonadecane	DC13
2,4-ditert-butylphenol	DC14
2,6,10,15-Tetramethylheptadecane	DC15
Tetradec-1-ene	DC16
2,6,11,15-Tetramethylhexadecane	DC17
Hexadecan-1-ol	DC18
Octadec-9-en-1-ol	DC19
